Date,Category,Amount,Payment_Mode,Type
2024-04-12,Entertainment,3809,Cash,Income
2024-09-27,Travel,1181,Card,Expense
2024-04-16,Rent,555,Card,Expense
2024-03-12,Travel,994,UPI,Expense
2024-07-07,Travel,1484,Card,Expense
2024-01-21,Travel,2058,Card,Expense
2024-04-12,Food,3172,UPI,Expense
2024-05-01,Food,2096,Card,Expense
2024-08-02,Food,4385,Cash,Expense
2024-03-28,Rent,604,Cash,Expense
2024-04-09,Entertainment,1314,UPI,Expense
2024-05-31,Bills,1631,UPI,Income
2024-05-10,Travel,3540,UPI,Expense
2024-05-29,Travel,923,Cash,Expense
2024-09-14,Rent,1028,Card,Income
2024-10-20,Travel,233,Cash,Expense
2024-07-10,Food,2205,UPI,Income
2024-10-03,Bills,3727,Card,Expense
2024-06-09,Shopping,4880,Card,Expense
2024-01-22,Travel,1952,Cash,Expense
2024-09-09,Food,4275,UPI,Expense
2024-08-23,Shopping,3033,Cash,Expense
2024-02-18,Bills,3384,Card,Expense
2024-02-28,Shopping,4398,Cash,Expense
2024-06-18,Food,2911,Cash,Expense
2024-07-06,Entertainment,1350,UPI,Income
2024-09-27,Entertainment,3612,UPI,Income
2024-07-08,Shopping,1356,Card,Expense
2024-06-23,Rent,3476,Cash,Expense
2024-02-20,Shopping,3586,Cash,Expense
2024-02-24,Travel,3684,Cash,Expense
2024-08-31,Travel,1496,Card,Income
2024-05-10,Entertainment,3737,Card,Expense
2024-05-14,Rent,3430,UPI,Expense
2024-01-21,Food,2803,UPI,Expense
2024-06-15,Travel,570,UPI,Expense
2024-09-30,Entertainment,1453,Cash,Expense
2024-03-29,Bills,2883,Cash,Income
2024-01-14,Entertainment,2931,UPI,Expense
2024-08-29,Travel,457,Cash,Expense
2024-09-21,Travel,3119,UPI,Expense
2024-02-22,Entertainment,767,Card,Income
2024-04-01,Food,4568,UPI,Income
2024-09-20,Shopping,1245,Card,Expense
2024-02-04,Travel,4285,Cash,Expense
2024-07-24,Entertainment,3819,UPI,Expense
2024-03-21,Entertainment,2845,Cash,Expense
